id,status,category,primary_question,working_title,slug,primary_language,priority,search_intent,related_apps,primary_keyword,secondary_keywords,evergreen,source_type,canonical_path,published_url,scheduled_at,published_at,updated_at,review_required,notes
TOPIC-0011,published,media,서버로 보내지 않고 로컬 미디어 파일을 변환하려면 어떻게 해야 하나요?,로컬 미디어 파일을 비공개로 변환하는 방법,convert-local-media-files-privately,ko,high,solve,Quivra,로컬 미디어 변환기,비공개 파일 변환|오프라인 미디어 변환|파일 형식 워크플로|Quivra,true,product_documentation,generated/markdown/ko/media/convert-local-media-files-privately.md,https://onnellab.github.io/blog/ko/convert-local-media-files-privately/,2026-07-14T09:00:00+09:00,2026-07-14T09:00:00+09:00,2026-07-14T09:00:00+09:00,true,Korean counterpart for TOPIC-0007. Diversifies content rotation beyond VaultXT.
TOPIC-0012,review,productivity,How can I rename batches of files without applying mistakes?,How to Rename Files Safely With a Preview Workflow,rename-files-safely-preview-workflow,en,normal,workflow,Aligna,file renaming preview,batch rename|rename rules|preview before apply|Aligna,true,product_documentation,generated/markdown/en/productivity/rename-files-safely-preview-workflow.md,,,,,true,Diversify content rotation beyond VaultXT. Explain preview-before-apply workflow before mentioning Aligna.
TOPIC-0013,published,music,음악 라이브러리에 곡을 추가하기 전에 MP3 메타데이터를 어떻게 정리해야 하나요?,음악 정리 전 MP3 메타데이터를 정돈하는 방법,clean-up-mp3-metadata-before-organizing-music,ko,high,workflow,TagWeaver,MP3 메타데이터 편집기,ID3 태그|음악 라이브러리 정리|앨범 아트|TagWeaver,true,product_documentation,generated/markdown/ko/music/clean-up-mp3-metadata-before-organizing-music.md,https://onnellab.github.io/blog/ko/clean-up-mp3-metadata-before-organizing-music/,2026-07-20T14:56:51+09:00,2026-07-20T14:56:51+09:00,2026-07-20T14:56:51+09:00,true,TOPIC-0008의 한국어 대응 문서. 필드별 검증과 백업 중심으로 현지화하고 제품은 교육 뒤에 소개합니다.
TOPIC-0014,draft,productivity,How can I turn rough notes into a structured first draft without losing the original ideas?,How to Turn Rough Notes Into a Structured First Draft,turn-rough-notes-into-structured-first-draft,en,normal,workflow,Melivra,structure rough notes,first draft workflow|outline from notes|writing revision|Melivra,true,product_documentation,generated/markdown/en/productivity/turn-rough-notes-into-structured-first-draft.md,,,,,true,"Evergreen writing workflow. Preserve source notes, separate outlining from revision, and mention optional writing tools only after the method."
TOPIC-0015,draft,media,How can I verify audio clips before combining them into one file?,How to Verify Audio Clips Before Combining Them,verify-audio-clips-before-combining,en,normal,workflow,Segra,verify audio clips before merging,audio merge order|clip boundaries|volume consistency|Segra,true,product_documentation,generated/markdown/en/media/verify-audio-clips-before-combining.md,,,,,true,"Distinct from trimming: focuses on ordering, boundary checks, and reversible preparation before an audio merge."
TOPIC-0016,draft,research,How can I keep a research reading log that remains useful after a project ends?,How to Keep a Durable Research Reading Log,keep-durable-research-reading-log,en,normal,workflow,,research reading log,source notes|citation trail|research synthesis|evergreen notes,true,editorial,generated/markdown/en/research/keep-durable-research-reading-log.md,,,,,true,"Product-neutral evergreen research workflow with a focus on source traceability, concise summaries, and later reuse."
TOPIC-0017,published,productivity,아이폰에서 복사한 텍스트 조각을 잃어버리지 않고 다시 사용하려면 어떻게 해야 하나요?,아이폰에서 복사한 텍스트 조각을 다시 사용하는 방법,reuse-copied-text-snippets-iphone,ko,normal,workflow,ClipNest,아이폰 텍스트 조각 관리,저장한 텍스트 조각|아이폰 클립보드 워크플로|로컬 클립보드 도구|ClipNest,true,product_documentation,generated/markdown/ko/productivity/reuse-copied-text-snippets-iphone.md,https://onnellab.github.io/blog/ko/reuse-copied-text-snippets-iphone/,2026-07-24T08:24:05+09:00,2026-07-24T08:24:05+09:00,2026-07-24T08:24:05+09:00,true,TOPIC-0010의 한국어 대응 문서. 백그라운드 상시 모니터링을 주장하지 않고 사용자가 키보드를 열어 저장하는 흐름을 설명합니다.
TOPIC-0018,draft,media,How can I choose an output format before converting a media file?,How to Choose a Media Output Format Before Conversion,choose-media-output-format-before-conversion,en,normal,compare,Quivra,choose media output format,media container|audio codec|video compatibility|conversion workflow,true,product_documentation,generated/markdown/en/media/choose-media-output-format-before-conversion.md,,,,,true,"Evergreen pre-conversion decision guide. Explain container, codec, destination compatibility, and test-file verification before mentioning Quivra."
TOPIC-0019,review,productivity,실수 없이 여러 파일의 이름을 한꺼번에 바꾸려면 어떻게 해야 하나요?,미리보기로 여러 파일의 이름을 안전하게 바꾸는 방법,rename-files-safely-preview-workflow,ko,normal,workflow,Aligna,파일 이름 일괄 변경 미리보기,파일명 일괄 변경|이름 변경 규칙|적용 전 미리보기|Aligna,true,product_documentation,generated/markdown/ko/productivity/rename-files-safely-preview-workflow.md,,,,,true,"TOPIC-0012의 한국어 대응 문서. 적용 전 미리보기, 충돌 확인, 되돌릴 수 있는 복사본 중심으로 현지화합니다."
TOPIC-0020,draft,productivity,How can I organize downloaded files without building a complicated folder system?,"How to Organize Downloads With a Small, Durable Folder System",organize-downloads-small-folder-system,en,normal,workflow,,organize downloads folder,download folder cleanup|simple file organization|durable folders|file naming,true,editorial,generated/markdown/en/productivity/organize-downloads-small-folder-system.md,,,,,true,"Product-neutral evergreen workflow. Focus on a small number of durable categories, consistent names, and a recurring inbox cleanup."
TOPIC-0021,draft,reading,긴 글을 읽을 때 TXT와 EPUB 중 무엇을 사용해야 하나요?,긴 글 읽기를 위한 TXT와 EPUB 비교,txt-vs-epub-for-long-reading,ko,normal,compare,VaultXT,긴 글 TXT EPUB 비교,긴 글 읽기|일반 텍스트|EPUB 변환|읽기 워크플로,true,editorial,generated/markdown/ko/reading/txt-vs-epub-for-long-reading.md,,,,,true,TOPIC-0003의 한국어 대응 초안.
TOPIC-0022,draft,reading,큰 텍스트 파일을 열 때 느려지는 이유는 무엇인가요?,대용량 텍스트 파일이 느리게 열리는 이유,large-text-file-slow-to-open,ko,normal,learn,VaultXT,대용량 텍스트 파일 열기 지연,대용량 파일 성능|긴 줄|메모리 사용량|가상 렌더링,true,product_documentation,generated/markdown/ko/reading/large-text-file-slow-to-open.md,,,,,true,TOPIC-0004의 한국어 대응 초안.
TOPIC-0023,draft,media,복잡한 편집 작업 없이 오디오 녹음을 자르려면 어떻게 해야 하나요?,전문 편집기 없이 오디오 녹음을 자르는 방법,trim-audio-recordings-without-full-editor,ko,normal,solve,Segra,오디오 녹음 자르기 앱,오디오 구간|녹음 정리|간단한 오디오 워크플로|Segra,true,product_documentation,generated/markdown/ko/media/trim-audio-recordings-without-full-editor.md,,,,,true,TOPIC-0009의 한국어 대응 초안.
TOPIC-0024,draft,productivity,원래 아이디어를 잃지 않고 거친 메모를 구조화된 초안으로 바꾸려면 어떻게 해야 하나요?,거친 메모를 구조화된 초안으로 바꾸는 방법,turn-rough-notes-into-structured-first-draft,ko,normal,workflow,Melivra,메모 구조화 초안,메모 기반 초안|개요 만들기|글 수정|Melivra,true,product_documentation,generated/markdown/ko/productivity/turn-rough-notes-into-structured-first-draft.md,,,,,true,TOPIC-0014의 한국어 대응 초안.
TOPIC-0025,draft,media,오디오 클립을 하나의 파일로 합치기 전에 어떻게 확인해야 하나요?,오디오 클립을 합치기 전에 확인하는 방법,verify-audio-clips-before-combining,ko,normal,workflow,Segra,오디오 클립 병합 전 확인,오디오 병합 순서|클립 경계|음량 일관성|Segra,true,product_documentation,generated/markdown/ko/media/verify-audio-clips-before-combining.md,,,,,true,TOPIC-0015의 한국어 대응 초안.
TOPIC-0026,draft,research,프로젝트가 끝난 뒤에도 유용한 연구 독서 기록을 어떻게 유지할 수 있나요?,오래 활용할 수 있는 연구 독서 기록을 만드는 방법,keep-durable-research-reading-log,ko,normal,workflow,,연구 독서 기록,출처 메모|인용 추적|연구 종합|장기 메모,true,editorial,generated/markdown/ko/research/keep-durable-research-reading-log.md,,,,,true,TOPIC-0016의 한국어 대응 초안.
TOPIC-0027,draft,media,미디어 파일을 변환하기 전에 출력 형식을 어떻게 선택해야 하나요?,미디어 변환 전에 출력 형식을 선택하는 방법,choose-media-output-format-before-conversion,ko,normal,compare,Quivra,미디어 출력 형식 선택,미디어 컨테이너|오디오 코덱|영상 호환성|변환 워크플로,true,product_documentation,generated/markdown/ko/media/choose-media-output-format-before-conversion.md,,,,,true,TOPIC-0018의 한국어 대응 초안.
TOPIC-0028,draft,productivity,복잡한 폴더 체계 없이 다운로드 파일을 어떻게 정리할 수 있나요?,작고 오래 유지되는 폴더 체계로 다운로드를 정리하는 방법,organize-downloads-small-folder-system,ko,normal,workflow,,다운로드 폴더 정리,다운로드 정리|간단한 파일 분류|지속 가능한 폴더|파일 이름,true,editorial,generated/markdown/ko/productivity/organize-downloads-small-folder-system.md,,,,,true,TOPIC-0020의 한국어 대응 초안.
